node;filiere1;filiere2;filiere3;trajectoire;date;capacite;date_BP_num
fr;enr;biogas;biogas;bas;2026;658;2025
fr;enr;biogas;biogas;haut;2026;928;2025
fr;enr;biogas;biogas;moyen;2026;748;2025
fr;enr;biomass;biomass;bas;2026;851;2025
fr;enr;biomass;biomass;haut;2026;1041;2025
fr;enr;biomass;biomass;moyen;2026;1021;2025
fr;enr;geothermal;geothermal;bas;2026;0;2025
fr;enr;geothermal;geothermal;haut;2026;0;2025
fr;enr;geothermal;geothermal;moyen;2026;0;2025
fr;enr;hydro;hydro;bas;2026;21400;2025
fr;enr;hydro;hydro;haut;2026;21400;2025
fr;enr;hydro;hydro;moyen;2026;21400;2025
fr;enr;hydro;step;bas;2026;4200;2025
fr;enr;hydro;step;haut;2026;4200;2025
fr;enr;hydro;step;moyen;2026;4200;2025
fr;enr;hydrokinetic;hydrokinetic;bas;2026;0;2025
fr;enr;hydrokinetic;hydrokinetic;haut;2026;100;2025
fr;enr;hydrokinetic;hydrokinetic;moyen;2026;100;2025
fr;enr;other;other;bas;2026;0;2025
fr;enr;other;other;haut;2026;0;2025
fr;enr;other;other;moyen;2026;0;2025
fr;enr;solar;pv;bas;2026;0;2025
fr;enr;solar;pv;haut;2026;23656;2025
fr;enr;solar;pv;moyen;2026;19656;2025
fr;enr;solar;thermo;bas;2026;0;2025
fr;enr;solar;thermo;haut;2026;0;2025
fr;enr;solar;thermo;moyen;2026;0;2025
fr;enr;waste;waste;bas;2026;937;2025
fr;enr;waste;waste;haut;2026;937;2025
fr;enr;waste;waste;moyen;2026;937;2025
fr;enr;wave;wave;bas;2026;0;2025
fr;enr;wave;wave;haut;2026;0;2025
fr;enr;wave;wave;moyen;2026;0;2025
fr;enr;wind;offshore;bas;2026;3000;2025
fr;enr;wind;offshore;haut;2026;5000;2025
fr;enr;wind;offshore;moyen;2026;4000;2025
fr;enr;wind;onshore;bas;2026;18493;2025
fr;enr;wind;onshore;haut;2026;30343;2025
fr;enr;wind;onshore;moyen;2026;25243;2025
fr;enr;biogas;biogas;bas;2031;828;2030
fr;enr;biogas;biogas;haut;2031;1248;2030
fr;enr;biogas;biogas;moyen;2031;978;2030
fr;enr;biomass;biomass;bas;2031;951;2030
fr;enr;biomass;biomass;haut;2031;1291;2030
fr;enr;biomass;biomass;moyen;2031;1171;2030
fr;enr;geothermal;geothermal;bas;2031;0;2030
fr;enr;geothermal;geothermal;haut;2031;0;2030
fr;enr;geothermal;geothermal;moyen;2031;0;2030
fr;enr;hydro;hydro;bas;2031;21400;2030
fr;enr;hydro;hydro;haut;2031;21400;2030
fr;enr;hydro;hydro;moyen;2031;21400;2030
fr;enr;hydro;step;bas;2031;4200;2030
fr;enr;hydro;step;haut;2031;5200;2030
fr;enr;hydro;step;moyen;2031;4200;2030
fr;enr;hydrokinetic;hydrokinetic;bas;2031;100;2030
fr;enr;hydrokinetic;hydrokinetic;haut;2031;800;2030
fr;enr;hydrokinetic;hydrokinetic;moyen;2031;600;2030
fr;enr;other;other;bas;2031;0;2030
fr;enr;other;other;haut;2031;0;2030
fr;enr;other;other;moyen;2031;0;2030
fr;enr;solar;pv;bas;2031;0;2030
fr;enr;solar;pv;haut;2031;35956;2030
fr;enr;solar;pv;moyen;2031;27656;2030
fr;enr;solar;thermo;bas;2031;0;2030
fr;enr;solar;thermo;haut;2031;0;2030
fr;enr;solar;thermo;moyen;2031;0;2030
fr;enr;waste;waste;bas;2031;937;2030
fr;enr;waste;waste;haut;2031;937;2030
fr;enr;waste;waste;moyen;2031;937;2030
fr;enr;wave;wave;bas;2031;0;2030
fr;enr;wave;wave;haut;2031;0;2030
fr;enr;wave;wave;moyen;2031;0;2030
fr;enr;wind;offshore;bas;2031;4000;2030
fr;enr;wind;offshore;haut;2031;10000;2030
fr;enr;wind;offshore;moyen;2031;7500;2030
fr;enr;wind;onshore;bas;2031;22243;2030
fr;enr;wind;onshore;haut;2031;41343;2030
fr;enr;wind;onshore;moyen;2031;32743;2030
fr;enr;biogas;biogas;bas;2036;1028;2035
fr;enr;biogas;biogas;haut;2036;1598;2035
fr;enr;biogas;biogas;moyen;2036;1228;2035
fr;enr;biomass;biomass;bas;2036;1051;2035
fr;enr;biomass;biomass;haut;2036;1541;2035
fr;enr;biomass;biomass;moyen;2036;1321;2035
fr;enr;geothermal;geothermal;bas;2036;0;2035
fr;enr;geothermal;geothermal;haut;2036;0;2035
fr;enr;geothermal;geothermal;moyen;2036;0;2035
fr;enr;hydro;hydro;bas;2036;21400;2035
fr;enr;hydro;hydro;haut;2036;21400;2035
fr;enr;hydro;hydro;moyen;2036;21400;2035
fr;enr;hydro;step;bas;2036;4200;2035
fr;enr;hydro;step;haut;2036;6200;2035
fr;enr;hydro;step;moyen;2036;4200;2035
fr;enr;hydrokinetic;hydrokinetic;bas;2036;100;2035
fr;enr;hydrokinetic;hydrokinetic;haut;2036;3000;2035
fr;enr;hydrokinetic;hydrokinetic;moyen;2036;1000;2035
fr;enr;other;other;bas;2036;0;2035
fr;enr;other;other;haut;2036;0;2035
fr;enr;other;other;moyen;2036;0;2035
fr;enr;solar;pv;bas;2036;0;2035
fr;enr;solar;pv;haut;2036;48456;2035
fr;enr;solar;pv;moyen;2036;35656;2035
fr;enr;solar;thermo;bas;2036;0;2035
fr;enr;solar;thermo;haut;2036;0;2035
fr;enr;solar;thermo;moyen;2036;0;2035
fr;enr;waste;waste;bas;2036;937;2035
fr;enr;waste;waste;haut;2036;937;2035
fr;enr;waste;waste;moyen;2036;937;2035
fr;enr;wave;wave;bas;2036;0;2035
fr;enr;wave;wave;haut;2036;0;2035
fr;enr;wave;wave;moyen;2036;0;2035
fr;enr;wind;offshore;bas;2036;4000;2035
fr;enr;wind;offshore;haut;2036;15000;2035
fr;enr;wind;offshore;moyen;2036;10000;2035
fr;enr;wind;onshore;bas;2036;25993;2035
fr;enr;wind;onshore;haut;2036;52343;2035
fr;enr;wind;onshore;moyen;2036;39243;2035
fr;thermal;gaz;gas_pcomp_mid;ampere;2026;0;2025
fr;thermal;gaz;gas_pcomp_peak;ampere;2026;0;2025
fr;thermal;effacement;dsr_short;ampere;2026;2250;2025
fr;thermal;effacement;dsr_long;ampere;2026;2250;2025
fr;thermal;gaz;gas_cogen;ampere;2026;4351;2025
fr;thermal;gaz;gas_other;ampere;2026;184;2025
fr;thermal;fioul;oil_cogen;ampere;2026;458;2025
fr;thermal;fioul;oil_other;ampere;2026;500;2025
fr;nuclear;nucléaire;nuclear_cp0_cp_cp2;ampere;2026;20875;2025
fr;nuclear;nucléaire;nuclear_n4;ampere;2026;5990;2025
fr;nuclear;nucléaire;nuclear_p4;ampere;2026;26370;2025
fr;nuclear;nucléaire;nuclear_epr;ampere;2026;1650;2025
fr;thermal;fioul;heavy_oil_old_1;ampere;2026;0;2025
fr;thermal;charbon;hard_coal_old_1;ampere;2026;0;2025
fr;thermal;gaz;gas_ccgt_new;ampere;2026;5879,2;2025
fr;thermal;gaz;gas_ccgt_new_dk6;ampere;2026;808;2025
fr;thermal;fioul;light_oil;ampere;2026;990;2025
fr;thermal;gaz;gas_ocgt_new;ampere;2026;445,7;2025
fr;thermal;gaz;gas_ocgt_old;ampere;2026;203,3;2025
fr;thermal;gaz;gas_pcomp_mid;hertz;2026;500;2025
fr;thermal;gaz;gas_pcomp_peak;hertz;2026;6000;2025
fr;thermal;effacement;dsr_short;hertz;2026;3000;2025
fr;thermal;effacement;dsr_long;hertz;2026;3000;2025
fr;thermal;gaz;gas_cogen;hertz;2026;4351;2025
fr;thermal;gaz;gas_other;hertz;2026;184;2025
fr;thermal;fioul;oil_cogen;hertz;2026;458;2025
fr;thermal;fioul;oil_other;hertz;2026;500;2025
fr;nuclear;nucléaire;nuclear_cp0_cp_cp2;hertz;2026;14515;2025
fr;nuclear;nucléaire;nuclear_n4;hertz;2026;5990;2025
fr;nuclear;nucléaire;nuclear_p4;hertz;2026;26370;2025
fr;nuclear;nucléaire;nuclear_epr;hertz;2026;1650;2025
fr;thermal;fioul;heavy_oil_old_1;hertz;2026;0;2025
fr;thermal;charbon;hard_coal_old_1;hertz;2026;0;2025
fr;thermal;gaz;gas_ccgt_new;hertz;2026;5879,2;2025
fr;thermal;gaz;gas_ccgt_new_dk6;hertz;2026;808;2025
fr;thermal;fioul;light_oil;hertz;2026;990;2025
fr;thermal;gaz;gas_ocgt_new;hertz;2026;445,7;2025
fr;thermal;gaz;gas_ocgt_old;hertz;2026;203,3;2025
fr;thermal;gaz;gas_pcomp_mid;volt;2026;0;2025
fr;thermal;gaz;gas_pcomp_peak;volt;2026;0;2025
fr;thermal;effacement;dsr_short;volt;2026;1655;2025
fr;thermal;effacement;dsr_long;volt;2026;845;2025
fr;thermal;gaz;gas_cogen;volt;2026;3551;2025
fr;thermal;gaz;gas_other;volt;2026;184;2025
fr;thermal;fioul;oil_cogen;volt;2026;458;2025
fr;thermal;fioul;oil_other;volt;2026;500;2025
fr;nuclear;nucléaire;nuclear_cp0_cp_cp2;volt;2026;27220;2025
fr;nuclear;nucléaire;nuclear_n4;volt;2026;5990;2025
fr;nuclear;nucléaire;nuclear_p4;volt;2026;26370;2025
fr;nuclear;nucléaire;nuclear_epr;volt;2026;1650;2025
fr;thermal;fioul;heavy_oil_old_1;volt;2026;0;2025
fr;thermal;charbon;hard_coal_old_1;volt;2026;0;2025
fr;thermal;gaz;gas_ccgt_new;volt;2026;5879,2;2025
fr;thermal;gaz;gas_ccgt_new_dk6;volt;2026;808;2025
fr;thermal;fioul;light_oil;volt;2026;990;2025
fr;thermal;gaz;gas_ocgt_new;volt;2026;445,7;2025
fr;thermal;gaz;gas_ocgt_old;volt;2026;203,3;2025
fr;thermal;gaz;gas_pcomp_mid;watt;2026;1000;2025
fr;thermal;gaz;gas_pcomp_peak;watt;2026;2600;2025
fr;thermal;effacement;dsr_short;watt;2026;3000;2025
fr;thermal;effacement;dsr_long;watt;2026;3000;2025
fr;thermal;gaz;gas_cogen;watt;2026;4351;2025
fr;thermal;gaz;gas_other;watt;2026;184;2025
fr;thermal;fioul;oil_cogen;watt;2026;458;2025
fr;thermal;fioul;oil_other;watt;2026;500;2025
fr;nuclear;nucléaire;nuclear_cp0_cp_cp2;watt;2026;9100;2025
fr;nuclear;nucléaire;nuclear_n4;watt;2026;5990;2025
fr;nuclear;nucléaire;nuclear_p4;watt;2026;26370;2025
fr;nuclear;nucléaire;nuclear_epr;watt;2026;1650;2025
fr;thermal;fioul;heavy_oil_old_1;watt;2026;0;2025
fr;thermal;charbon;hard_coal_old_1;watt;2026;2340;2025
fr;thermal;gaz;gas_ccgt_new;watt;2026;5879,2;2025
fr;thermal;gaz;gas_ccgt_new_dk6;watt;2026;808;2025
fr;thermal;fioul;light_oil;watt;2026;990;2025
fr;thermal;gaz;gas_ocgt_new;watt;2026;445,7;2025
fr;thermal;gaz;gas_ocgt_old;watt;2026;203,3;2025
fr;thermal;gaz;gas_pcomp_mid;ampere;2031;0;2030
fr;thermal;gaz;gas_pcomp_peak;ampere;2031;0;2030
fr;thermal;effacement;dsr_short;ampere;2031;1655;2030
fr;thermal;effacement;dsr_long;ampere;2031;845;2030
fr;thermal;gaz;gas_cogen;ampere;2031;4351;2030
fr;thermal;gaz;gas_other;ampere;2031;184;2030
fr;thermal;fioul;oil_cogen;ampere;2031;458;2030
fr;thermal;fioul;oil_other;ampere;2031;500;2030
fr;nuclear;nucléaire;nuclear_cp0_cp_cp2;ampere;2031;14505;2030
fr;nuclear;nucléaire;nuclear_n4;ampere;2031;5990;2030
fr;nuclear;nucléaire;nuclear_p4;ampere;2031;26370;2030
